id_item,sistema,item,origem_esperada,causas_provaveis,procedencia,tipo_falha_nbr,prazo_anos,nota_enquadramento
IT-001,Áreas externas,Fissuras e trincas em calçadas e passeios,Endógena (projeto/execução),"Ausência de juntas de dilatação, espessura ou traço inadequado do contrapiso, reaterro mal compactado.",Apêndice B,Pavimentação externa à edificação (pedestres) — desgaste; dessolidarização,3,Fissuração não é tipificada para pavimento externo; enquadrar pela consequência (dessolidarização).
IT-002,Áreas externas,Afundamento em calçadas e passeios,Endógena (projeto/execução),"Reaterro mal compactado, compactação insuficiente do subleito, erosão junto à fundação.",Apêndice B,Pavimentação externa à edificação (pedestres) — desgaste; dessolidarização,3,"Se o afundamento decorrer de reaterro, avaliar também enquadramento em fundações (Tabela 1, 5 anos)."
IT-003,Áreas externas,Recalque de piso externo sobre reaterro de vala,Endógena (projeto/execução),Vala de instalação reaterrada sem compactação em camadas; adensamento nos primeiros meses.,Acrescentado,Pavimentação externa à edificação (pedestres) — desgaste; dessolidarização,3,"Recalque sobre vala de instalação: verificar se há dano associado a tubulação enterrada (5 anos, prumadas)."
IT-004,Áreas externas,Canaletas ou grelhas obstruídas,Falha (uso/manutenção),Falta de limpeza periódica; entulho remanescente da obra.,Apêndice B,Não previsto na Tabela 2 — decorre de limpeza/manutenção,,Falha de manutenção do usuário (NBR 5674). Não gera direito de garantia.
IT-005,Áreas externas,Infiltração ou umidade ascendente em muros de divisa,Endógena (projeto/execução),"Ausência ou deficiência de impermeabilização do baldrame, falha de execução.",Apêndice B,Muros externos — deterioração por umidade,1,"É o prazo mais curto do muro. Se houver fissuração associada, o mesmo elemento tem 3 anos por esse tipo de falha."
IT-006,Áreas externas,Fissuras ou trincas no muro de divisa,Endógena (projeto/execução),"Ausência de pilaretes/cinta de amarração, retração, ausência de juntas, recalque.",Apêndice B,Muros externos — fissuração,3,"Se evoluir para ruptura ou tombamento, o prazo aplicável passa a 5 anos."
IT-007,Áreas externas,Dificuldade de abertura/fechamento de portões,Endógena ou Falha,Instalação/regulagem inadequada; desalinhamento por recalque do pilarete.,Apêndice B,Portões de acesso à edificação — falhas de produto / de instalação,1,
IT-008,Áreas externas,Corrosão em portões ou gradis metálicos,Endógena (projeto/execução),Preparo de superfície e pintura de proteção inadequados na execução.,Apêndice B,"Portões, gradis e grades — oxidação que não acarrete perda de seção",1,"Se houver corrosão com ruptura ou perda de seção, o prazo é 5 anos."
IT-009,Estrutura,"Fissuras em vigas, pilares e lajes",Endógena (projeto/execução),"Retração do concreto, cura deficiente, escoramento retirado precocemente, recalque diferencial, sobrecarga não prevista.",Apêndice B,Estrutura (Tabela 1) — solidez e segurança,5,"A garantia alcança fissuras e deformações que ultrapassem os limites aceitáveis de normas específicas, ou, na ausência delas, mediante análise técnica de origem, causa e risco."
IT-010,Estrutura,Fissuras de retração plástica em laje,Endógena (projeto/execução),"Cura insuficiente, concretagem sob sol/vento, excesso de água no traço.",Acrescentado,Estrutura (Tabela 1) — solidez e segurança,5,Retração plástica: caracterizar se ultrapassa os limites normativos de fissuração.
IT-011,Estrutura,"Nichos, bicheiras e falhas de concretagem aparentes",Endógena (projeto/execução),"Adensamento deficiente, segregação, forma com fresta, armadura congestionada.",Acrescentado,Estrutura (Tabela 1) — solidez e segurança,5,"Se aparente na entrega, também é ocorrência da Tabela 3 (identificação no ato do recebimento)."
IT-012,Estrutura,Exposição de armaduras,Endógena (projeto/execução),"Cobrimento insuficiente, espaçador ausente ou deslocado, falha de concretagem.",Apêndice B,Estrutura (Tabela 1) — solidez e segurança,5,
IT-013,Estrutura,Corrosão de armaduras,Endógena (projeto/execução),Cobrimento insuficiente associado a infiltração; presença de cloretos no agregado.,Apêndice B,Estrutura (Tabela 1) — solidez e segurança,5,
IT-014,Estrutura,Deformações excessivas (flechas em lajes/vigas),Endógena (projeto/execução),"Erro de dimensionamento, retirada precoce de escoramento, sobrecarga não prevista.",Apêndice B,Estrutura (Tabela 1) — solidez e segurança,5,Deformação deve ultrapassar os limites aceitáveis estabelecidos em norma específica.
IT-015,Estrutura,Desagregação do concreto,Endógena (projeto/execução),"Traço inadequado, segregação, má qualidade do agregado, cura deficiente.",Apêndice B,Estrutura (Tabela 1) — solidez e segurança,5,
IT-016,Estrutura,Vibrações excessivas em piso/laje,Endógena (projeto/execução),Dimensionamento com rigidez insuficiente; vão excessivo.,Apêndice B,Estrutura (Tabela 1) — solidez e segurança,5,
IT-017,Fundação,Recalque diferencial,Endógena (projeto/execução),"Ausência ou deficiência de sondagem, dimensionamento inadequado, execução deficiente, obras vizinhas.",Apêndice B,Fundações (Tabela 1) — solidez e segurança,5,
IT-018,Fundação,Desnível de piso,Endógena (projeto/execução),"Recalque diferencial, execução do contrapiso fora de nível, acomodação do aterro.",Apêndice B,Estrutura de pisos (Tabela 1) — solidez e segurança,5,"Se o desnível for restrito à camada de regularização, o enquadramento é contrapiso (3 anos)."
IT-019,Fundação,Fissuras no piso / contrapiso,Endógena (projeto/execução),"Retração do contrapiso, ausência de juntas, espessura insuficiente, recalque.",Apêndice B,Camada de regularização (contrapiso) — dessolidarização; desagregação/pulverulência,3,"Se a fissura tiver origem em recalque de fundação, o enquadramento é Tabela 1 (5 anos)."
IT-020,Fundação,Umidade ascendente,Endógena (projeto/execução),Ausência ou falha de impermeabilização do baldrame; barreira interrompida na execução.,Apêndice B,Impermeabilização — perda de estanqueidade,5,Aplica-se a sistema de impermeabilização em qualquer elemento construtivo.
IT-021,Vedação,Fissuras em alvenaria,Endógena (projeto/execução),"Retração da argamassa, movimentação térmica, deformação da estrutura, ausência de juntas.",Apêndice B,Vedações verticais (internas e externas) — perda de integridade; dessolidarização,5,
IT-022,Vedação,Trincas em encontros estruturais (alvenaria x pilar/viga),Endógena (projeto/execução),"Ausência de tela ou ferro-cabelo, falta de detalhamento da interface, deformação da estrutura.",Apêndice B,Vedações verticais (internas e externas) — perda de integridade; dessolidarização,5,
IT-023,Vedação,Fissura horizontal sob a viga (falha de encunhamento),Endógena (projeto/execução),"Encunhamento/aperto ausente, executado cedo demais ou com material inadequado.",Acrescentado,Vedações verticais (internas e externas) — perda de integridade; dessolidarização,5,"Falha de encunhamento: interface alvenaria/estrutura, típica de execução."
IT-024,Vedação,Trincas em vergas e contravergas,Endógena (projeto/execução),"Ausência, subdimensionamento ou transpasse insuficiente de vergas e contravergas.",Apêndice B,Vedações verticais (internas e externas) — perda de integridade; dessolidarização,5,
IT-025,Vedação,Fissuras mapeadas (retração do emboço/reboco),Endógena (projeto/execução),"Traço rico em cimento, aplicação em camada única espessa, cura deficiente.",Acrescentado,"Revestimento que faz parte do sistema de vedação — desgaste, empolamento, descascamento, esfarelamento, perda de estanqueidade",3,"Fissuração mapeada é do revestimento (3 anos), não da vedação (5 anos). Distinguir a camada afetada."
IT-026,Vedação,Deslocamento / empolamento,Endógena (projeto/execução),"Deficiência de aderência ao substrato, base mal preparada, infiltração.",Apêndice B,Revestimento que faz parte do sistema de vedação — dessolidarização,5,Dessolidarização: 5 anos. Se caracterizado como empolamento/descascamento: 3 anos.
IT-027,Vedação,Umidade / infiltração,Endógena (projeto/execução),"Falha de impermeabilização, vazamento em instalação embutida, fissuras, ausência de pingadeira.",Apêndice B,Impermeabilização — perda de estanqueidade,5,"Se a infiltração for pela fachada e não houver sistema de impermeabilização, enquadrar em revestimento — perda de estanqueidade (3 anos)."
IT-028,Vedação,Condensação (mofo ou bolor),Endógena ou Falha,Ventilação insuficiente por deficiência de projeto; uso inadequado do ambiente.,Apêndice B,"Acabamento decorativo tinta látex standard — bolor, fungo, mofo e algas",1,3 anos se a tinta especificada for látex premium ou super premium. Verificar o memorial descritivo.
IT-029,Vedação,Eflorescência,Endógena (projeto/execução),"Umidade residual da obra, migração de sais, deficiência de impermeabilização.",Apêndice B,Acabamento decorativo tinta látex standard — eflorescência,1,"3 anos se látex premium/super premium. Se houver umidade de base, avaliar também impermeabilização (5 anos)."
IT-030,Revestimento,Deslocamento cerâmico,Endógena (projeto/execução),"Argamassa colante inadequada, tempo em aberto excedido, dupla colagem ausente, junta insuficiente.",Apêndice B,Acabamento decorativo aderido (cerâmica/pedra) — dessolidarização,5,"5 anos em fachada. Em ambiente interno o enquadramento é desgaste/dessolidarização, com 3 anos."
IT-031,Revestimento,Som cavo,Endógena (projeto/execução),"Deficiência de aderência entre camadas, base contaminada ou mal preparada.",Apêndice B,Acabamento decorativo aderido (cerâmica/pedra) — dessolidarização,5,"Som cavo é indício de dessolidarização, não a falha em si. Registrar extensão percentual da área percutida."
IT-032,Revestimento,Trincas em reboco,Endógena (projeto/execução),"Retração da argamassa, deformação da base, cura deficiente.",Apêndice B,"Revestimento que faz parte do sistema de vedação — desgaste, empolamento, descascamento, esfarelamento",3,
IT-033,Revestimento,Descascamento da pintura,Endógena (projeto/execução),"Preparo inadequado da superfície, pintura sobre base úmida ou sem selador.",Apêndice B,Acabamento decorativo tinta látex standard — perda de integridade da película,1,3 anos se látex premium/super premium; 1 ano se esmalte sintético ou tinta a óleo.
IT-034,Revestimento,Bolhas / empolamento da pintura,Endógena (projeto/execução),Aplicação sobre substrato úmido; umidade residual da obra.,Acrescentado,Acabamento decorativo tinta látex standard — perda de integridade da película (bolhas),1,3 anos se látex premium/super premium ou textura.
IT-035,Revestimento,Eflorescência,Endógena (projeto/execução),Umidade residual e migração de sais solúveis; impermeabilização deficiente.,Apêndice B,Acabamento decorativo tinta látex standard — eflorescência,1,"Se a eflorescência estiver no revestimento e não na pintura, o prazo é 3 anos."
IT-036,Revestimento,Manchas de umidade,Endógena (projeto/execução),"Infiltração, vazamento em instalação, falha de impermeabilização.",Apêndice B,Impermeabilização — perda de estanqueidade,5,"Conforme a origem: pintura (1 ano), revestimento (3 anos) ou impermeabilização (5 anos). Definir a camada antes de enquadrar."
IT-037,Revestimento,Falhas de rejunte,Endógena (projeto/execução),"Rejunte aplicado antes da cura da argamassa colante, junta subdimensionada.",Apêndice B,Rejuntamento — desgaste; dessolidarização,1,"Vale para rejunte de piso e de parede, interno e externo. É um dos prazos mais curtos da norma."
IT-038,Revestimento,Desalinhamento de juntas e variação de tonalidade,Endógena (projeto/execução),Assentamento sem controle de nivelamento; lotes cerâmicos diferentes.,Acrescentado,Falha aparente / ocorrência em acabamento (Tabela 3),,"Identificação devida no ato da entrega. Fora disso, aplica-se o art. 26, II, do CDC: 90 dias para vício aparente."
IT-039,Instalações elétricas,Fios expostos,Endógena ou Falha,"Execução incorreta, intervenções pós-obra inadequadas.",Apêndice B,Componentes dos circuitos elétricos — falhas de instalação,3,1 ano se a falha for do produto e não da instalação.
IT-040,Instalações elétricas,Emendas improvisadas,Endógena (projeto/execução),Execução inadequada ou reparos improvisados durante a obra.,Apêndice B,Componentes dos circuitos elétricos — falhas de instalação,3,
IT-041,Instalações elétricas,Quadro elétrico irregular,Endógena (projeto/execução),"Projeto inadequado, execução incorreta, ausência de identificação de circuitos.",Apêndice B,Componentes dos circuitos elétricos (quadros e painéis) — falhas de instalação,3,1 ano se falha do produto.
IT-042,Instalações elétricas,Disjuntores inadequados,Endógena (projeto/execução),Dimensionamento incorreto frente aos circuitos executados.,Apêndice B,Componentes dos circuitos elétricos (disjuntores) — falhas de instalação,3,1 ano se falha do produto.
IT-043,Instalações elétricas,"Ausência de dispositivos de segurança (DR, DPS)",Endógena (projeto/execução),Falha de projeto ou supressão em obra (NBR 5410).,Apêndice B,Componentes dos circuitos elétricos (dispositivos de proteção) — falhas de instalação,3,Ausência de DR/DPS é não conformidade com a NBR 5410 — registrar também como descumprimento normativo.
IT-044,Instalações elétricas,Aquecimento de condutores,Endógena (projeto/execução),"Condutor subdimensionado, mau contato, circuito sobrecarregado.",Apêndice B,Componentes dos circuitos elétricos — falhas de instalação,3,1 ano se falha do produto. Prioridade alta na Matriz GUT por risco de incêndio.
IT-045,Instalações elétricas,Falta de aterramento,Endógena (projeto/execução),"Falha de projeto, execução incompleta, haste desconectada.",Apêndice B,"SPDA — cabos, barramentos e componentes de equipotencialização — falhas de instalação",3,1 ano se falha do produto.
IT-046,Instalações elétricas,Tomadas danificadas ou mal fixadas,Endógena ou Falha,Fixação inadequada na execução; desgaste pelo uso.,Apêndice B,Componentes dos circuitos elétricos (tomadas) — falhas do produto,1,3 anos se a falha for de instalação (fixação).
IT-047,Instalações hidrossanitárias,Vazamentos / infiltração,Endógena (projeto/execução),"Falha de execução em conexões embutidas, ausência de teste de estanqueidade.",Apêndice B,Ramais e sub-ramais de tubulações — falhas de instalação,3,5 anos se o vazamento for em prumada/coluna ou reservatório.
IT-048,Instalações hidrossanitárias,Mau funcionamento de aparelhos,Endógena ou Falha,"Instalação inadequada, obstrução por resíduo de obra.",Apêndice B,Louças sanitárias e metais — falhas dos produtos,1,3 anos se falha de instalação.
IT-049,Instalações hidrossanitárias,Baixa pressão,Endógena (projeto/execução),"Dimensionamento inadequado, altura insuficiente do reservatório, obstrução.",Apêndice B,Ramais e sub-ramais de tubulações — falhas de instalação,3,"Se decorrer de dimensionamento de projeto, registrar como anomalia endógena de projeto."
IT-050,Instalações hidrossanitárias,Tubulação deteriorada ou danificada,Endógena (projeto/execução),"Material inadequado, dano mecânico durante a obra.",Apêndice B,Ramais e sub-ramais de tubulações — falhas de instalação,3,5 anos se prumada/coluna.
IT-051,Instalações hidrossanitárias,Mau cheiro / ausência de ventilação sanitária,Endógena (projeto/execução),"Coluna de ventilação ausente ou obstruída, sifão inexistente.",Apêndice B,Ramais e sub-ramais de tubulações — falhas de instalação,3,Ausência de ventilação sanitária é não conformidade com a NBR 8160.
IT-052,Instalações hidrossanitárias,Ralos sem vedação (fecho hídrico),Endógena (projeto/execução),"Instalação inadequada, ausência de fecho hídrico.",Apêndice B,"Engate flexível, sifão, válvulas, ralos e seus acabamentos — falhas dos produtos e instalação",1,
IT-053,Instalações hidrossanitárias,Empoçamento por falta de caimento em áreas molhadas,Endógena (projeto/execução),Contrapiso executado sem declividade para o ralo.,Acrescentado,Camada de regularização (contrapiso) — dessolidarização; desagregação,3,"Caimento é definido na regularização. Se houver perda de estanqueidade, avaliar impermeabilização (5 anos)."
IT-054,Instalações hidrossanitárias,Falha de impermeabilização em box e áreas molhadas,Endógena (projeto/execução),"Sistema ausente, mal executado ou sem teste de estanqueidade; rodapé sem subida.",Acrescentado,Impermeabilização — perda de estanqueidade,5,Um dos itens de maior prazo e maior incidência precoce. Verificar existência de teste de estanqueidade na obra.
IT-055,Cobertura,Telhas danificadas ou deslocadas,Endógena (projeto/execução),"Fixação inadequada, trânsito sobre o telhado durante a obra.",Apêndice B,Telhamento — dessolidarização ou ruptura,3,"1 ano se caracterizado como deformação, permeabilidade ou perda de estanqueidade."
IT-056,Cobertura,Infiltrações,Endógena (projeto/execução),"Inclinação abaixo da mínima, transpasse insuficiente, rufo/calha mal executados.",Apêndice B,Telhamento — perda de estanqueidade,1,"Prazo curto. Se a origem for a impermeabilização de laje, o prazo é 5 anos."
IT-057,Cobertura,Inclinação ou transpasse de telha inadequados,Endógena (projeto/execução),Execução em desacordo com a especificação do fabricante.,Acrescentado,Telhamento — perda de estanqueidade,1,Inclinação e transpasse são definidos em projeto; registrar como anomalia endógena de projeto.
IT-058,Cobertura,Calhas obstruídas,Falha (uso/manutenção),Falta de limpeza; resíduo de obra remanescente.,Apêndice B,Não previsto na Tabela 2 — decorre de limpeza/manutenção,,Falha de manutenção do usuário (NBR 5674).
IT-059,Cobertura,Acúmulo de água,Endógena (projeto/execução),"Declividade inadequada, drenagem subdimensionada.",Apêndice B,Rufos e calhas — falha de fixação e perda de estanqueidade,1,"Se o acúmulo for em laje impermeabilizada, avaliar impermeabilização (5 anos)."
IT-060,Cobertura,Rufos e contra-rufos danificados ou ausentes,Endógena (projeto/execução),"Instalação inadequada, ausência de vedação nos encontros.",Apêndice B,Rufos e calhas — falha de fixação e perda de estanqueidade,1,
IT-061,Cobertura,Estrutura de cobertura comprometida,Endógena (projeto/execução),"Subdimensionamento, madeira sem tratamento, contraventamento ausente.",Apêndice B,Estrutura de sistemas de cobertura (Tabela 1) — solidez e segurança,5,Estrutura de cobertura de qualquer natureza integra a Tabela 1.
IT-062,Esquadrias,Dificuldade de abertura,Endógena (projeto/execução),"Instalação fora de esquadro, desalinhamento, ferragem inadequada.",Apêndice B,Esquadrias — desencaixe; deslocamento,1,"3 anos se caracterizado como folga quanto a vedação, encaixe e fixação."
IT-063,Esquadrias,Vedação inadequada,Endógena (projeto/execução),"Instalação sem calafetação, deficiência de vedação no contramarco.",Apêndice B,Esquadrias — guarnições e elementos de vedação — perda de vedação,3,1 ano se caracterizado como desencaixe ou deslocamento.
IT-064,Esquadrias,Infiltração em janelas,Endógena (projeto/execução),"Ausência de pingadeira ou contramarco, selante mal aplicado, peitoril sem caimento.",Apêndice B,Vedação da interface vertical e horizontal da esquadria — perda de estanqueidade,1,3 anos se a perda de estanqueidade for entre componentes da própria esquadria.
IT-065,Esquadrias,Comprometimento da integridade das esquadrias,Endógena (projeto/execução),"Material inadequado ao ambiente, dano durante a obra, corrosão precoce.",Apêndice B,"Perfis principais da esquadria — ruptura, deformação, flexão, trincas",5,Atenção à NOTA 7: os prazos não se aplicam a esquadrias de ferro produzidas sob medida em processo fabril não industrializado — comum em residência unifamiliar.
IT-066,Esquadrias,Ausência de pingadeira em peitoril e platibanda,Endógena (projeto/execução),Detalhe suprimido em projeto ou execução.,Acrescentado,Não previsto na Tabela 2 — item de projeto,,Enquadrar pela consequência: infiltração em esquadria (1 ano) ou em vedação/revestimento (3 anos).
T3-01,Vedações verticais externas e internas,Portas corta-fogo,,"Falha de regulagem de dobradiças e molas. Ocorrências em acabamentos: manchas, lascamento de pintura ou acabamento superficial",NBR 17170 — Tabela 3,Falha aparente / ocorrência em acabamento — identificação no ato da entrega (Tabela 3),,"A Tabela 3 não estabelece prazo de garantia em anos: os prazos de reclamação seguem a legislação vigente (ver aba 'Entrega T3', item 9.4). Aplicável a residência unifamiliar: Não."
T3-02,Vedações verticais externas e internas,Portas de acesso e internas de áreas comuns e privativas,,"Ocorrências em acabamentos: manchas, lascamento de pintura ou acabamento superficial",NBR 17170 — Tabela 3,Falha aparente / ocorrência em acabamento — identificação no ato da entrega (Tabela 3),,"A Tabela 3 não estabelece prazo de garantia em anos: os prazos de reclamação seguem a legislação vigente (ver aba 'Entrega T3', item 9.4). Aplicável a residência unifamiliar: Sim."
T3-03,Vedações verticais externas e internas,Revestimentos decorativos de qualquer natureza,,"Ocorrências em acabamentos: lascamento, diferenças de tonalidades, manchas e riscos, falhas de rejuntamento",NBR 17170 — Tabela 3,Falha aparente / ocorrência em acabamento — identificação no ato da entrega (Tabela 3),,"A Tabela 3 não estabelece prazo de garantia em anos: os prazos de reclamação seguem a legislação vigente (ver aba 'Entrega T3', item 9.4). Aplicável a residência unifamiliar: Sim."
T3-04,Vedações verticais externas e internas,Pinturas,,"Ocorrências em acabamentos: lascamento, diferenças de tonalidades, manchas e riscos",NBR 17170 — Tabela 3,Falha aparente / ocorrência em acabamento — identificação no ato da entrega (Tabela 3),,"A Tabela 3 não estabelece prazo de garantia em anos: os prazos de reclamação seguem a legislação vigente (ver aba 'Entrega T3', item 9.4). Aplicável a residência unifamiliar: Sim."
T3-05,Vedações verticais externas e internas,"Esquadrias de alumínio, madeira, aço e PVC",,"Falha pela dificuldade de abertura ou fechamento. Ocorrências em acabamentos: riscos, manchas, amassamento, lascamento",NBR 17170 — Tabela 3,Falha aparente / ocorrência em acabamento — identificação no ato da entrega (Tabela 3),,"A Tabela 3 não estabelece prazo de garantia em anos: os prazos de reclamação seguem a legislação vigente (ver aba 'Entrega T3', item 9.4). Aplicável a residência unifamiliar: Sim."
T3-06,Vedações verticais externas e internas,Vidros,,"Ocorrências em acabamentos: lascamento, trincas, quebras, riscos ou manchas",NBR 17170 — Tabela 3,Falha aparente / ocorrência em acabamento — identificação no ato da entrega (Tabela 3),,"A Tabela 3 não estabelece prazo de garantia em anos: os prazos de reclamação seguem a legislação vigente (ver aba 'Entrega T3', item 9.4). Aplicável a residência unifamiliar: Sim."
T3-07,Pisos,Contrapiso,,"Ocorrências em acabamentos: depressões e irregularidades, quebra",NBR 17170 — Tabela 3,Falha aparente / ocorrência em acabamento — identificação no ato da entrega (Tabela 3),,"A Tabela 3 não estabelece prazo de garantia em anos: os prazos de reclamação seguem a legislação vigente (ver aba 'Entrega T3', item 9.4). Aplicável a residência unifamiliar: Sim."
T3-08,Pisos,"Revestimentos/acabamento de qualquer natureza, inclusive o rejuntamento",,"Ocorrências em acabamentos: lascamento, diferenças de tonalidades, manchas e riscos, falhas de rejuntamento, falhas de polimento",NBR 17170 — Tabela 3,Falha aparente / ocorrência em acabamento — identificação no ato da entrega (Tabela 3),,"A Tabela 3 não estabelece prazo de garantia em anos: os prazos de reclamação seguem a legislação vigente (ver aba 'Entrega T3', item 9.4). Aplicável a residência unifamiliar: Sim."
T3-09,Forros,Superfície,,"Ocorrências em acabamentos: lascamentos, quebras, manchas, irregularidades",NBR 17170 — Tabela 3,Falha aparente / ocorrência em acabamento — identificação no ato da entrega (Tabela 3),,"A Tabela 3 não estabelece prazo de garantia em anos: os prazos de reclamação seguem a legislação vigente (ver aba 'Entrega T3', item 9.4). Aplicável a residência unifamiliar: Sim."
T3-10,Sistemas hidráulicos,"Louças sanitárias, banheiras, bancadas e cubas",,"Ocorrências em acabamentos: lascamento, quebra, manchas, fixação, riscos ou amassados",NBR 17170 — Tabela 3,Falha aparente / ocorrência em acabamento — identificação no ato da entrega (Tabela 3),,"A Tabela 3 não estabelece prazo de garantia em anos: os prazos de reclamação seguem a legislação vigente (ver aba 'Entrega T3', item 9.4). Aplicável a residência unifamiliar: Sim."
T3-11,Sistemas hidráulicos,Metais sanitários,,Ocorrências em acabamentos: manchamento. Falhas de fixação; falha de abertura e fechamento,NBR 17170 — Tabela 3,Falha aparente / ocorrência em acabamento — identificação no ato da entrega (Tabela 3),,"A Tabela 3 não estabelece prazo de garantia em anos: os prazos de reclamação seguem a legislação vigente (ver aba 'Entrega T3', item 9.4). Aplicável a residência unifamiliar: Sim."
T3-12,Sistemas elétricos,"Espelhos de tomadas, interruptores e outros dispositivos",,"Falha de fixação e de instalação, componentes danificados",NBR 17170 — Tabela 3,Falha aparente / ocorrência em acabamento — identificação no ato da entrega (Tabela 3),,"A Tabela 3 não estabelece prazo de garantia em anos: os prazos de reclamação seguem a legislação vigente (ver aba 'Entrega T3', item 9.4). Aplicável a residência unifamiliar: Sim."
T3-13,Piscinas,"Revestimentos, iluminação",,"Ocorrências em acabamentos: lascamento, quebras, diferença de tonalidade",NBR 17170 — Tabela 3,Falha aparente / ocorrência em acabamento — identificação no ato da entrega (Tabela 3),,"A Tabela 3 não estabelece prazo de garantia em anos: os prazos de reclamação seguem a legislação vigente (ver aba 'Entrega T3', item 9.4). Aplicável a residência unifamiliar: Quando houver."
T3-14,Quadras poliesportivas,"Equipamentos da quadra, pisos e alambrados",,"Ocorrências em acabamentos: lascamento e falhas na pintura, riscos ou manchas",NBR 17170 — Tabela 3,Falha aparente / ocorrência em acabamento — identificação no ato da entrega (Tabela 3),,"A Tabela 3 não estabelece prazo de garantia em anos: os prazos de reclamação seguem a legislação vigente (ver aba 'Entrega T3', item 9.4). Aplicável a residência unifamiliar: Não."
T3-15,Prevenção e combate a incêndio,Sinalização,,"Ocorrências em acabamentos: trincas, quebras, amassados ou manchas",NBR 17170 — Tabela 3,Falha aparente / ocorrência em acabamento — identificação no ato da entrega (Tabela 3),,"A Tabela 3 não estabelece prazo de garantia em anos: os prazos de reclamação seguem a legislação vigente (ver aba 'Entrega T3', item 9.4). Aplicável a residência unifamiliar: Não."
T3-16,Acessibilidade,Sinalização,,"Ocorrências em acabamentos: trincas, quebras, amassados ou manchas",NBR 17170 — Tabela 3,Falha aparente / ocorrência em acabamento — identificação no ato da entrega (Tabela 3),,"A Tabela 3 não estabelece prazo de garantia em anos: os prazos de reclamação seguem a legislação vigente (ver aba 'Entrega T3', item 9.4). Aplicável a residência unifamiliar: Não."
