sistema,componente,tipo_falha,prazo_anos,fonte,conferido,observacao
fundacao,Fundacoes,Seguranca e estabilidade,,A CONFERIR - NBR 17170:2022,0,Preencher com o prazo da norma
estrutura,Estrutura principal,Seguranca e estabilidade,,A CONFERIR - NBR 17170:2022,0,Preencher com o prazo da norma
impermeabilizacao,Impermeabilizacao,Estanqueidade,,A CONFERIR - NBR 17170:2022,0,Preencher com o prazo da norma
cobertura,Cobertura,Estanqueidade,,A CONFERIR - NBR 17170:2022,0,Preencher com o prazo da norma
hidraulica,Tubulacoes embutidas,Estanqueidade,,A CONFERIR - NBR 17170:2022,0,Preencher com o prazo da norma
hidraulica,Metais e loucas,Funcionamento,,A CONFERIR - NBR 17170:2022,0,Preencher com o prazo da norma
eletrica,Instalacao embutida,Funcionamento,,A CONFERIR - NBR 17170:2022,0,Preencher com o prazo da norma
eletrica,Tomadas e interruptores,Funcionamento,,A CONFERIR - NBR 17170:2022,0,Preencher com o prazo da norma
vedacao,Alvenaria de vedacao,Fissuras,,A CONFERIR - NBR 17170:2022,0,Preencher com o prazo da norma
revestimentos,Revestimento de fachada,Aderencia,,A CONFERIR - NBR 17170:2022,0,Preencher com o prazo da norma
revestimentos,Revestimento interno,Aderencia,,A CONFERIR - NBR 17170:2022,0,Preencher com o prazo da norma
revestimentos,Pintura,Aspecto,,A CONFERIR - NBR 17170:2022,0,Preencher com o prazo da norma
esquadrias,Esquadrias,Funcionamento e vedacao,,A CONFERIR - NBR 17170:2022,0,Preencher com o prazo da norma
areas_externas,Pisos externos e calcadas,Integridade,,A CONFERIR - NBR 17170:2022,0,Preencher com o prazo da norma
